appid,support,title,version
automatic,not_supported,(DEPRECATED) Automatic,2
metrics_explorer,not_supported,(DEPRECATED) Metrics Explorer for Splunk,0.1.2
technology_inventory,not_supported,(DEPRECATED) Technology Inventory,0.5
RiskIQApp,developer,(LEGACY) RiskIQ Digital Footprint App,1.1.0
conf_archives,not_supported,.conf Archive Search,3.2
onepassword_events_api,developer,1Password Events Reporting for Splunk,1.3.0
TwoSteps,developer,2Steps,1.1.1
TwoSteps_Cloud,developer,2Steps - Cloud,5.0.8
splunk_app_3cx,developer,3CX PhoneSystem app for Splunk,1.0.0
splunk-3D-graph-network-topology-viz,not_supported,3D Graph Network Topology Visualization,1.3.0
A10-L7_Firewall_Dashboard,not_supported,A10 Networks Application Firewall App,0.1
A10-DC_Firewall,not_supported,A10 Networks L4 Firewall App,0.1
A10_Networks-SSLi_App,not_supported,A10 Networks SSL Insight App,0.1
act,not_supported,ACT Threat Intelligence,1.0.0
e531ceaa-1091-11ea-a197-06cf444d769a,developer,ADO.NET Provider for Splunk by CData,Not Specified
SA-ADTimeline,not_supported,ADTimeline,1.1
40c884c0-49d9-11e7-a2c7-06caacf1c708,not_supported,AML Compliance app for Splunk,Not Specified
amqp_ta,developer,AMQP Messaging Modular Input,1
871c8afe-9079-11ea-8e8e-0242112bd934,developer,API Fortress - Splunk Connector,Not Specified
api_alerts,not_supported,API alerts,2.1.0
SWP_APM,developer,APM Integration,1.0.1
TA-asngen,not_supported,ASN Lookup Generator,1.0.1
AVAYA_CALL,not_supported,AVAYA CALL,2.16
aws_cert_reporting,developer,AWS Certificate Reporting,1.0.2
SWP_AWS,developer,AWS Cloudwatch Integration,1.0.1
AWS-Lambda-Call-Addon-For-Splunk,not_supported,AWS Lambda Alert Action,1.0.0
TA-aws-trusted-advisor,developer,AWS Trusted Advisor Aggregator,1.0.8Rde24ac2
TA-aws_waf,developer,AWS Web Application Firewall Add-on,1.0.1
abuseipdb_check,not_supported,AbuseIPDB Check,1.0.0
skylight_security_for_splunk,not_supported,Accedian Skylight powered Security,1.0.1
AccellionCiso,developer,Accellion CISO Dashboard,1.5.0
AccellionCisoAddon,developer,Accellion CISO Dashboard Add-On,1.2.0
TA-idefense,developer,Accenture CTI IntelGraph Add-on,3.1.0
jds-arm,developer,Active Robot Monitoring (ARM) by JDS Australia,2
Activu,developer,Activu vis/ability Link plugin,1.0.1
TA-acunetix-360,developer,Acunetix 360,1.0.0
TA-acunetix-360-add-on-for-splunk-cloud,developer,Acunetix 360 Add-on For Splunk Cloud,1.5.0
TA-bugcrowd,not_supported,Add-On for Bugcrowd,1.2
TA_fidelis,not_supported,Add-On for Fidelis XPS,1.1
SA-haveibeenpwned,not_supported,Add-On for HaveIBeenPwned,2.0.3
TA-maclookup,not_supported,Add-On for MAC lookup,2.5.2
TA_wifi_defcon_1,not_supported,Add-On for Wi-Fi Defcon 1,1
5c4a497c-edca-11e8-a11e-022fbef3fa08,not_supported,Add-On for Windows DNS Analytical Logging,Not Specified
TA-Cb_Defense,not_supported,Add-On- Endpoint Standard VMware Carbon Black Cloud,2.0.4
TA-debug-refresh,not_supported,Add-on Debug Refresh,2.2.2
TA-LDAP,not_supported,Add-on for  LDAP,3
Splunk_TA_access_combined,not_supported,Add-on for Access Combined,1.2.1
TA-allure-security,developer,Add-on for Allure Security,1.0.31
Splunk_TA_AsiainfoTDA,developer,Add-on for Asiainfo TDA,1.0.0
TA-jira-service-desk-simple-addon,developer,Add-on for Atlassian JIRA Service Desk alert action,1.0.30
TA-auscert,developer,Add-on for AusCERT,1.0.1
TA-barracudawebfilter,not_supported,Add-on for Barracuda Web Filter,1.0.0
TA-add-on-for-bluecat-ipam,developer,Add-on for BlueCat IPAM,2.1.3
TA-Bro_IDS,not_supported,Add-on for Bro-IDS,2.2.2
TA-add-on-for-carbon-intensity,developer,Add-on for Carbon Intensity,1.0.0
TA-checkpoint-cef,not_supported,Add-on for Check Point Log Exporter (CEF),1.0.1
TA-add-on-for-cisco-prime-infrastructure,developer,Add-on for Cisco Prime Infrastructure,2.1.2
TA-fints,developer,Add-on for FinTS,1.0.0
Splunk_TA_pflog,not_supported,Add-on for FreeBSD pflogd,1.0.1
TA-add-on-for-hive,developer,Add-on for Hive Home,1.0.1
TA-jumpcloud,not_supported,Add-on for JumpCloud,1.0.1
TA_McAfee_Web_Gateway,developer,Add-on for McAfee Web Gateway,1.0.3
TA-met-office-weather-forecast,developer,Add-on for Met Office DataHub,1.0.0
TA-microsoft-defender,developer,Add-on for Microsoft Defender ATP Known As Windows Defender ATP,1.0.0
TA-Microsoft_Forefront_TMG,not_supported,Add-on for Microsoft Forefront Threat Management Gateway,1.0.2
TA-Splunk-Moogsoft,not_supported,Add-on for Moogsoft AIOps,2.0.0
ta-mulesoft,not_supported,Add-on for MuleSoft,1.0.0
TA-mulesoft-cloudhub-add-on-for-splunk,developer,Add-on for Mulesoft Cloudhub,1.1.6
TA-otx,not_supported,Add-on for Open Threat Exchange,2.0.1
TA-Puppet_Enterpirse,not_supported,Add-on for Puppet Enterprise,1.0.0
TA-add-on-for-sophos-xg,not_supported,Add-on for Sophos XG,1.1.4
TA-symantec-smg,developer,Add-on for Symantec Brightmail or Messaging Gateway,1
TA_vmray_platform,not_supported,Add-on for VMRay Platform,2.0.0
ta_i-filter,not_supported,Add-on for i-Filter,1.0.6
TA-Splunk-ignio,not_supported,Add-on for ignio AIOps,1.0.0
TA-symantec-mg,developer,Add-on for symantec messaging gateway,1.2
TA-tcell_splunk_app,not_supported,Add-on for tCell,0.4.0
SA-ITSI-CP-MA,not_supported,Add-on for the Content Pack for Monitoring and Alerting,2.0.3
TA-mark-hosts-down,not_supported,Add-on to mark hosts as down,1.1
Splunk_TA_Oceanstor,not_supported,Addon for Huawei OceanstorV3/V5/DoradoV3,2.1.9
TA-statuspage-io,developer,Addon for Statuspage.io,1.0.0
netwitness_admin,not_supported,Administration App for RSA Netwitness,0.8.2
Splunk_for_AeroHive_Security,not_supported,AeroHive Security,1.0.4
afterglow,not_supported,AfterGlow Visualization,Not Specified
TA-agari,not_supported,Agari Add-on for Splunk,3.1.2
agari,developer,Agari App for Splunk,3.1.2
TA_AhnlabFirewall,developer,Ahnlab Firewall TA,1.0.0
8f11e70e-de51-11e7-a621-0a25cbc278b8,not_supported,Airlock App for Splunk,Not Specified
c4d3942c-de57-11e7-841a-0245b762d9d2,not_supported,Airlock App for Splunk Free Add On,Not Specified
airlock_digital,developer,Airlock Digital App for Splunk,2.3.0
TA-airlock-digital-rest-api-logger,developer,Airlock Digital REST API Logger,1.0.5
TA-airlock-digital-rest-api-logger-cloud,developer,Airlock Digital REST API Logger Cloud,1.0.5
airport_app_for_splunk,not_supported,Airport App for Splunk,1.0.0
Aisle25,not_supported,Aisle25,1.0.0
Akamai_DataStream_Addon,not_supported,Akamai Data Stream Addon,1.0.0
TA_akamai_edgegrid_audit,developer,Akamai Edgegrid Audit Input,0.2.0
akamai_mfa,developer,Akamai MFA App for Splunk,1.0.0
akamai-api-integration,developer,Akamai Prolexic DNS GTM and SIEM API (Unofficial),1.1.0
TA-Akamai_SIEM,not_supported,Akamai SIEM Integration,1.4.9
ALCATEL_OXO,not_supported,Alcatel OXO CDR,1.17
alert_manager,developer,Alert Manager,3.0.7
TA-alert_manager,developer,Alert Manager Add-on,2.3.1
alert_microsoftteams,not_supported,Alert Microsoft Teams,0.1.1
alert_timing_optimization_scheduler,developer,Alert Timing Optimization Scheduler,1.0.0
TA-saml-user-removal,developer,Alert action for SAML user role map removal,1.0.0
SplunkAdmins,developer,Alerts For Splunk Admins,2.6.6
alerts_to_csv_file,developer,Alerts To CSV File,1.0.0
TA-AlgoSec_Incident_Handling2,developer,AlgoSec App for Security Incident Analysis and Response (2.x),2.0.1
TA-AlibabaCloudSLS,developer,Alibaba Cloud Log Service Add-on for Splunk,1.0.0
SA-Alienvault,developer,Alien Vault Check OTX,1.0.0
allkun_mon_iso8583,developer,Allkun Mon for ISO 8583,1.0.2
allkun_TA_iso8583,developer,Allkun TA ISO 8583,1.0.1
allure-security-app,developer,Allure Security App,1.0.3
TA-alpha-pilot,not_supported,Alpha Pilot Metrics,1.0.0
TA-AWS_SQS_Count,not_supported,Amazon AWS SQS Monitoring,1.0.0
kinesis_ta,developer,Amazon Kinesis Modular Input,1.0.3
amazon_purchases,not_supported,Amazon Purchases Analysis for Splunk,1.4
amazon_ses,developer,Amazon Simple Email Service App for Splunk,1.0.1
amelia,developer,Amelia,1.2.0
anchain_bei_for_bitcoin,developer,AnChain.AI Bitcoin App for Splunk Enterprise,1.0.0
anchain_bei_for_ethereum,developer,AnChain.AI Ethereum App for Splunk Enterprise,1.0.0
TA-dbsec_add-on,not_supported,AnHuaJinHe DBSec add-on,1.0.0
analysis_of_splunkbase_apps,developer,Analysis Of SplunkBase Apps for Splunk,5.4.0
sh_collectd,not_supported,Analytics for Linux,3.3.0
SplunkForNagios,not_supported,Analytics for Nagios,4.0.0
andariel-api,developer,Andariel Threat Prevention,0.0.1
angular_examples,not_supported,Angular Examples,1
animated_chart_viz,developer,Animated Chart Viz,1.1.0
threatstream_dc,developer,Anomali Link,2.2.1
threatstream,developer,Anomali ThreatStream App for Splunk,6.5.3
7985fe92-84c7-11ea-9fa4-028913d8f5c2,developer,Anvilogic App for Splunk,Not Specified
c45b4500-3137-11ea-b6b2-02f905ac4cf2,developer,Apigee API Management Monitoring App for Splunk,Not Specified
Aporeto,not_supported,Aporeto,1.0.0
app_exporter,not_supported,App Exporter,1
circleci_app,not_supported,App for CircleCI,0.1.1
splunk_app_for_hockey_monitoring,developer,App for Hockey Monitoring,1.0.3
McAfee_FireCore,developer,App for McAfee FireCore (McAfee Client Proxy),0.0.8
McAfeeWebGateway,developer,App for McAfee Web Gateway (MWG MWCS),4.0.4
app-mulesoft,developer,App for MuleSoft,0.1.0
TA-Splunk_App_for_Puppet_Enterprise,not_supported,App for Puppet Enterprise,1.0.1
DBData,not_supported,App for REST Lookup,1.0.1
app_for_vulnerabilities,developer,App for Vulnerabilities,1.3.0
web_proxies,developer,App for Web Proxies,1.2.8
app_ilog-scanner,not_supported,App for iLogScanner Report,1.0.2
SWPAppD,developer,AppDynamics Integration,1.0.0
appinspect,not_supported,AppInspect App for Splunk,1.0.6
51c8654a-96fe-11ea-b0ae-0689c587f668,developer,AppOmni Add-On for Splunk,Not Specified
TA-apppulse-active,developer,AppPulse Active Add-On,1.0.0
bb9d8faa-0fce-11e7-99a9-02f69d97cc87,not_supported,Application Audit Dashboard,Not Specified
aqua_security,developer,Aqua Security,2.0.11
arc_globe,not_supported,Arc Globe Visualisation,1
Splunk_SA-ArcSight_Integrator,not_supported,ArcSight Integrator - Dashboards,3.0.0
Splunk_TA-ArcSight_Integrator_for_EB_or_Kafka,not_supported,ArcSight Integrator for Event Broker OR Kafka,3.0.0
Splunk_TA-ArcSight_Integrator_for_SmartConnectors,not_supported,ArcSight Integrator for SmartConnectors,3.0.0
TA-arctica,developer,Arctica xOne Agent,1.0.0
arcus_uber_app,developer,Arcus Data Uber App,1.0.0
area_1_security_for_splunk,not_supported,Area 1 Security Splunk App,1.0.0
aristanetworks,not_supported,Arista Networks Telemetry For Splunk,1.5
TA-armis,developer,Armis Add-On for Splunk,1.2.0
armis,developer,Armis App for Splunk,1.0.1
TA-armorblox,developer,Armorblox,1.1.2
TA-armory,developer,Armory Splunk App for Spinnaker,1.0.0
TA_Artica,developer,Artica TA Add-on,1.0.0
Splunk_app_artifactory,developer,Artifactory App for Splunk,1.1.0
ClearPassOnSplunk,not_supported,Aruba ClearPass App for Splunk,3
TA-aruba_networks,developer,Aruba Networks Add-on for Splunk,0.1.4
aruba_networks_app,developer,Aruba Networks App for Splunk,0.1.0
SA-askyeti,developer,Ask/Add YETI,1.0.0
1d194a30-21b5-11ea-8810-0a999af23238,not_supported,Asset Network Neighbor,Not Specified
TA-assetnote,developer,Assetnote Continuous Security - Attack Surface Management Platform,3.3.6
TA-aternity-rest-api-add-on-for-splunk,developer,Aternity REST_API add-on for Splunk,1.0.0
24115612-d43c-11eb-9025-069a01f1e54b,developer,Atlas Platform,Not Specified
TA-atlassian-jira-issue-alerts,developer,Atlassian JIRA Issue Alerts add-on for Splunk,1.2.1
Attivo-BOTsink-Dashboard,not_supported,Attivo ThreatDefend App for Splunk,1.2
audiocodes_ovoc_app_for_splunk,developer,AudioCodes One Voice Operations Center (OVOC) Dashboard,1.0.0
audiocodes_arm_app_for_splunk,developer,AudioCodes Routing Manager (ARM) Dashboard,1.0.0
8e4c2b36-a39d-11e5-b084-02772c66463f,developer,Aura - Continuous Asset Discovery and Intelligence for Splunk,Not Specified
auth0-splunk-security-dashboard,not_supported,Auth0 App for Splunk,1.0.1
TA-authentic8,developer,Authentic8 Silo Add-on for Splunk,1.0.0
authentication_app,developer,Authentication App for Splunk,1.3
auto_enable_disable_reports,developer,Auto Enable/Disable Reports for Splunk,1.0.0
splunk_maxmind_db_auto_update,developer,Auto Update MaxMind Database,1.0.1
5a0938b6-a12b-11e9-aee9-0615ec4e3df2,not_supported,Automated Index Integrity Checker,Not Specified
auto_dashboard,not_supported,Automatic Simple XML Dashboard,1.1
ARTs,not_supported,Automation Result Triage App for Splunk,2
TA-automationedge-ar,not_supported,AutomationEdge Add-on for Splunk,1.0.0
Splunk_TA-Avalon,developer,Avalon Add-on for Splunk,1.0.0
Avanan,developer,Avanan Splunk App,1.0.4
be6faec8-8b4d-11e9-937f-062dcfb856c2,developer,Avanseus Predictive Maintenance,Not Specified
bcms,developer,Avaya BCMS,1.0.1
avayacdr,developer,Avaya CDR,1.0.0
callanalytics,developer,Avaya Call Analytics,1.0.0
TA-avi-vantage-add-on,not_supported,Avi Networks Add-on for Splunk,1.0.24
TA-avi-vantage-app,not_supported,Avi Networks App for Splunk,1.0.6
SplunkforAviatrix,not_supported,Aviatrix App for Splunk,1.7
TA-awake-security,developer,Awake Security Add-on,4
axis_splunk_app,developer,Axis Security,1.3.0
TA_axway_api_gateway,developer,Axway API Gateway Add-on,1.0.0
axway_api_gateway,developer,Axway API Gateway App,1.0.0
TA-azure-devops-add-on,not_supported,Azure DevOps Add-On,1.1.9
Azure_DevOps_App,not_supported,Azure DevOps App,1.0.0
TA-azure-devops-release,developer,Azure DevOps Release Add-On,2.0.0
Azure_EventHub_Insights_App,developer,Azure Event Hub Insights App,2.0.0
eventhub_consumer,developer,Azure EventHub Consumer TA (ECTA) - Linux,2.0.8
eventhub_consumer_windows,developer,Azure EventHub Consumer TA (ECTA) - Windows,2.0.6
TA-azure-log-analytics-kql-grabber,developer,Azure Log Analytics Kusto Grabber,1.1.5
04b2733e-14a9-11e7-bb7d-02f69d97cc87,not_supported,Azure Monitor Add-on For Splunk,Not Specified
Azure-Sentinel-add-on,developer,Azure Sentinel Add-On for Splunk,1.0.3
TA-azure-blob-archiving,developer,Azure blob storage archiving,1.0.0
9ccca68a-e255-11ea-86db-063391d2c9fd,not_supported,BMC AMI Defender,Not Specified
TA-truesight,not_supported,BMC TrueSight Event Integration,1.0.0
6a0d7010-9456-11e9-bffb-0aceb036ce4a,developer,BTHomeHub5,Not Specified
TA-babytimer,developer,Baby Sleep/Feed/Diaper Tracking,1.0.1D89e306d
bandura_threat_dashboard,developer,Bandura Cyber Threat Dashboard,1.0.0
BarracudaNGFirewall,developer,Barracuda CloudGen Firewall,1.0.1
TA-Barracuda,developer,Barracuda Email Security Gateway Add-on,1.0.0
BarracudaESS,developer,Barracuda Email Security Service,1.2.12
TA-barracuda-NGX,developer,Barracuda NGX firewall Add-on for Splunk,1.0.3
TA-barracuda-spamfw,not_supported,Barracuda Spam/Virus Firewall Add-on,1
Splunk_TA_barracuda_waf_adc,not_supported,Barracuda WAF/ADC Add-on for Splunk,1.0.2
barracuda_splunk,developer,Barracuda Web Application Firewall,1.8
TA_barracuda_WAF,developer,Barracuda Web Application Firewall CIM,1.0.11
base64conv,not_supported,Base64 Converter,1.0.0
TA-base64pl,not_supported,Base64 encode or decode fields using Perl instead of Python,0.2.4
baseball,not_supported,Baseball Headlines and Web Pages,1.0.3
basketball,not_supported,Basketball Headlines and Web Pages,1.0.3
bazze,developer,Bazze Splunk App,1.0.0
BeeClear,developer,BeeClear,1.0.0
TA-beyond-identity,developer,Beyond Identity Splunk Add-on,1.0.0
Splunk_App_BeyondTrust_EPM,developer,BeyondTrust Endpoint Privilege Management Dashboard,1.0.0
Splunk_App_BeyondTrust_PWS,developer,BeyondTrust Password Safe/Cloud Dashboard,1.0.0
Splunk_App_BeyondTrust_PMC,developer,BeyondTrust Privilege Management Cloud Dashboard,1.0.0
679ec064-981f-11e9-b238-0a1a1b921178,developer,BeyondTrust Privileged Remote Access Integration,Not Specified
Splunk_App_BeyondTrust_RS,developer,BeyondTrust Remote Support Dashboard,1.0.0
App-BeyondTrust,not_supported,BeyondTrust Unix/Linux App for Splunk,1.0.3
TA-bigpanda,developer,BigPanda for Splunk,1.0.3
bing_search,not_supported,Bing Web Search,0.5
TA-bitbucket,not_supported,BitBucket Add-On,1.0.0
TA-bitsight,developer,BitSight Security Performance Management for Splunk Add-On,1.0.4
TA-bitdefender-gravityzone,not_supported,Bitdefender Gravityzone Add-on for Splunk,0.2.3
bitdefender-gravityzone,not_supported,Bitdefender Gravityzone for Splunk App,0.2.4
bitglass,developer,Bitglass App built by Bitglass,1.0.11
DA-ESS-Bitglass,developer,Bitglass customer portal data visualisations,0.9.0
BlackRidgeTACGateway,not_supported,BlackRidge TAC App for Splunk,1.11
blackvue,developer,Blackvue Dashcam GPS App,0.0.1
bloodhound,developer,Bloodhound App for Splunk,1.4.0
TA-infoblox-api,developer,BloxAM - An Infoblox Connector for Splunk,1.0.1
BluVector,not_supported,BluVector App for Splunk,1
blueprism_analytics,developer,Blue Prism Analytics for Splunk,1.0.0
blueprism_app_for_splunk,developer,Blue Prism App for Splunk,0.1.0
Blue_Team_App_O365_Azure,developer,Blue team app for Office 365 and Azure,1.3
ta-bluecat,developer,BlueCat Add-On for Splunk,1.0.0
TA_BlueCat_dns_edge,not_supported,BlueCat DNS Edge Technical Add-on for Splunk,1.5.0
BlueCat_dns_edge_app,not_supported,BlueCat DNS Edge for Splunk,1.3.2
TA-BlueJeans,not_supported,BlueJeans Command Center Addon,1.0.1
blueliv,not_supported,Blueliv,2.0.2
bonnie,not_supported,Bonnie++ Analysis for Splunk,1.6
4fc389ba-8e32-11eb-bcec-06df50e2960d,developer,Boomi App for Splunk,Not Specified
apt_hunting,developer,Boss of the SOC (BOTS) Advanced APT Hunting Companion App for Splunk,1.1
investigate_workshop,not_supported,Boss of the SOC (BOTS) Investigation Workshop for Splunk,1.2.2
botrx_protx,developer,BotRx ProTx for Splunk,1.0.0
botnet-app-for-splunk,developer,Botnet App for Splunk,1.0.0
TA-box-shield,developer,Box Shield Add-on for Splunk,1.1.1
BreachAlert,developer,BreachAlert,1.0.0
TA_bricata,developer,Bricata Add-on for Splunk,2.0.1
bricata_app_for_splunk,developer,Bricata App for Splunk,1.0.0
brivo_ta,not_supported,Brivo TA,1.1.2
broken_hosts,not_supported,Broken Hosts App for Splunk,4.0.5
favicon_changer,developer,Browser Icon Changer,1.0.0
TA_BrowsingHistoryView,developer,BrowsingHistoryView Add-on for Splunk,1.0.0
btool,not_supported,Btool Scripted Inputs for Splunk,3.0.1
TA-bugcrowd-api-v4,developer,Bugcrowd Add-on (API v4),1.0.0
c4cc29c6-2961-11e8-9f41-0aec6668c4aa,not_supported,Bugsnag data forwarder for Splunk,Not Specified
DA-ESS-CorrelationSearchWorkshop,developer,Building Correlation Searches in Splunk Enterprise Security Companion App,1.0.0
bullet_graph_app,splunk,Bullet Graph - Custom Visualization,1.5.0
c3m_cc,developer,C3M Cloud Control,1.3.0
TA-certmanager,not_supported,CA Cert Manager,1.0.3
cadors_app_for_splunk,developer,CADORS App for Splunk,1.0.0
cavedetective,not_supported,CAVE Detective,18.9.20
caveframework,not_supported,CAVE Framework,19.3.38
cavesituation,not_supported,CAVE Situation,19.3.22
9365b7b0-3ff4-11eb-ac84-06ffc77ac761,developer,CCX Extensions for Splunk Add-On Microsoft Office 365,Not Specified
Splunk_TA_CCX_KVHome,developer,CCX KVHome,1.0.2
15a1196c-3755-11ea-be67-0a8dc727552e,developer,CCX Security Advanced for Splunk Enterprise,Not Specified
Splunk_TA_CCX_Unified_Forcepoint,developer,CCX Unified Add-On for Forcepoint,1.0.0
a6e317e4-5ef1-11eb-9beb-0a44f07378b7,developer,CCX Unified Add-On for Microsoft Graph Security,Not Specified
Splunk_TA_CCX_Unified_SailPoint,developer,CCX Unified Add-On for SailPoint,1.0.1
Splunk_TA_CCX_Unified_Cisco_Firepower_eStreamer,developer,CCX Unified Add-on for Cisco Firepower,1.1.0
Splunk_TA_CCX_Unified_Akamai_DataStream,developer,CCX Unified Splunk Add-on for Akamai DataStream,1.0.0
Splunk_TA_CCX_Unified_Checkpoint,developer,CCX Unified Splunk Add-on for Checkpoint,1.3.4
Splunk_TA_CCX_Unified_Citrix,developer,CCX Unified Splunk Add-on for Citrix,1.2.2
Splunk_TA_CCX_Unified_Trend_Micro,developer,CCX Unified Splunk Add-on for Trend Micro,1.0.2
cefutils,not_supported,CEF Extraction Add-on for Splunk,1.5.4
cim-usage-dashboards,developer,CIM Usage Dashboards,1.2.2
cliauto_addon,developer,CLI Auto Add-on for Splunk,3.0.0
cliauto,developer,CLI Auto for Splunk,3.0.4
itmip_dataqualityautomationreporting,developer,CMDB-to-ITSI,1.2
cmx_monit_app,not_supported,CMX Monitoring App,1.0.0
TA_cmx_monit,not_supported,CMX Monitoring TA for Splunk,1.0.4
coap_ta,developer,COAP Modular Input,0.7
94a2270a-8a8f-11ea-bab1-0a9bd9bd61fe,developer,COVID-19 Daily Stats,Not Specified
cve_insights,developer,CVE Insights,1.0.0
cve_lookup,developer,CVE Lookup - App with data and dashboards driven by free CVE info from NVD.,1
TA-nvd-cve,not_supported,CVE database- NVD,1.0.3
calendar_app,not_supported,Calendar - Custom Visualization,1.0.0
calendar_heatmap_app,splunk,Calendar Heat Map - Custom Visualization,1.5.0
campus_compliance,not_supported,Campus Compliance Toolkit for NIST 800-171,1.0.2
canary,developer,Canary,1.4.6
SA-cbquery,not_supported,Carbon Black API Query,1
TA-carbonblack_edr,developer,Carbon Black Endpoint Detection and Response Add-on for Splunk,1.0.0
CarbonBlack,developer,CarbonBlack,1.1
carousel-viz,developer,Carousel Viz,1.1.3
search_cp,not_supported,Catchpoint Search,0.8.9
Cavirin_App,developer,Cavirin Companion App for Splunk,1
bit9-secapp,not_supported,Cb Protection App for Splunk,2
censys,developer,Censys ASM for Splunk,3.0.0
censys_search,developer,Censys Search for Splunk,1.0.0
TA-centralops,not_supported,CentralOps Whois Technology Add-On,1.1.0
centreon4splunk,developer,Centreon For Splunk,1.1
TA-centrify,developer,Centrify Add-on for Splunk,2.4.0
Centrify,developer,Centrify App for Splunk,2.4.0
TA-centrify-identity-services-platform,developer,Centrify Identity Platform Add-on for Splunk,1.0.1
CNI-QT4S,developer,Centripetal Splunk App for Threat Intelligence,0.23
Centurion,developer,Centurion - Threat Hunting Feed Aggregator,1.0.0
casa,not_supported,Certificate Authority Situational Awareness,1
TA-ct-log,not_supported,Certificate Transparency Log add-on for Splunk,1.3.0
TA-chainkit,developer,Chainkit for Splunk,1.0.0
character_converter_sjis,developer,Character Converter SJIS Search Command (ccsjis),1.0.0
chargebacker_for_splunk,developer,Charge Backer ( On-Going Costs) App for Splunk,1.0.4
chargeback,not_supported,Chargeback Analysis for Splunk,2.3.1
TA-checkpoint_response,not_supported,Check Point Adaptive Response Add-on,1.0.0
CheckPointAnalyticsAppbyQOS,developer,Check Point Analytics App by QOS,1.0.7
TA-check-point-app-for-splunk,developer,Check Point App for Splunk,1.1.0
checkpoint_dome9_app_for_splunk,not_supported,Check Point Dome9 App for Splunk,1.0.0
TA-Check_Point_Block,not_supported,Check Point Firewall Block,1.0.0
TA-cherwell,not_supported,Cherwell Add-on For Splunk,1.0.1
CherwellAppForSplunk,not_supported,Cherwell App For Splunk,1.0.0
ciphercloud_dashboard,developer,CipherCloud CASB+,1.0.0
circlepack_viz,developer,Circlepack Viz,1.3.4
TA_cisco-ACI,developer,Cisco ACI Add-on for Splunk Enterprise,5.0.0
cisco-app-ACI,developer,Cisco ACI App for Splunk Enterprise,5.0.0
TA-cisco-amp4e,not_supported,Cisco AMP for Endpoints CIM Add-On,2.0.1
amp4e_events_input,not_supported,Cisco AMP for Endpoints Events Input,2.0.1
Cisco_Bug_Search_and_Analytics,developer,Cisco Bug Search and Analytics,0.0.5
cisco_cdr,developer,Cisco CDR Reporting and Analytics,6.0.5
cisco-cloud-security,developer,Cisco Cloud Security App for Splunk,1.0.13
TA-cisco-cloud-security-umbrella-addon,developer,Cisco Cloud Security Umbrella Add-on for Splunk,1.0.15
cloudlock,not_supported,Cisco Cloudlock for Splunk,1.0.11
TA-cisco_DP_PD,not_supported,Cisco DMP/APP Add-On for Splunk,1.0.1
Cisco_DP_PD,not_supported,Cisco DMP/APP App for Splunk,1.0.1
CiscoNVM,developer,Cisco Endpoint Security Analytics (CESA),3.1.10
TA-Cisco-NVM,developer,Cisco Endpoint Security Analytics (CESA) Add-On for Splunk,3.1.8
TA-cisco-firepower-pcap-add-on,not_supported,Cisco Firepower pcap Add-on,1.0.0
b557c60c-da58-4131-b655-eecd037d25b6,developer,Cisco Meraki Presence Modular Input,Not Specified
TA_cisco-candid,developer,Cisco Network Assurance Engine Add-on for Splunk Enterprise (Cisco NAE),1
cisco-app-candid,developer,Cisco Network Assurance Engine App for Splunk Enterprise (Cisco NAE),2.5.0
TA-cisco_ios,not_supported,Cisco Networks Add-on for Splunk Enterprise,2.7.2
cisco_ios,not_supported,Cisco Networks App for Splunk Enterprise,2.7.1
TA_cisco-Nexus-9k,developer,Cisco Nexus 9k Add-on for Splunk Enterprise,2.1.0
cisco-app-Nexus-9k,developer,Cisco Nexus 9k App for Splunk Enterprise,1.1
ti-cisco-vuln,not_supported,Cisco PSIRT openVuln API Add-on for Splunk,1.0.0
firepower_dashboard,developer,Cisco Secure Firewall (f.k.a. Firepower) App for Splunk,1.6.0
TA-eStreamer,not_supported,Cisco Secure eStreamer Client (f.k.a Firepower eNcore) Add-On for Splunk,4.6.4
tr-splunk-relay,developer,Cisco SecureX threat response - CESA Relay,1.0.0
TA-cisco-threat-response,developer,Cisco SecureX threat response - Custom Search Command,1.1.9
relay-module,developer,Cisco SecureX threat response - Relay module,1.0.0
TA-cisco-stealthwatch,not_supported,Cisco StealthWatch Add-On,1.0.0
TA-cisco-thousand-eyes,developer,Cisco ThousandEyes Add-on for Splunk,1.0.0
TA-cisco-threat-grid,not_supported,Cisco Threat Grid Add-On,1.0.8
TA-cisco_umbrella,not_supported,Cisco Umbrella Add-On for Splunk,1.0.5
opendns_investigate,not_supported,Cisco Umbrella Investigate Add-on,0.9
Cisco_WSA_Insight,developer,Cisco Web Security Appliance (WSA) Insight,0.0.8
ta-cisco-webex-meetings-add-on-for-splunk,developer,Cisco WebEx Meetings Add-on for Splunk,1.1.12
cisco_webex_meetings_app_for_splunk,developer,Cisco WebEx Meetings App for Splunk,1.0.2
WebexTeams_AlertAction,not_supported,Cisco Webex Teams Alert Action,1.0.3
SA-openVulnQuery,not_supported,Cisco openVuln API Query,1
citrix-system-log-add-on,developer,Citrix System Log Add-On for Splunk,1.0.2
TA-claroty-add-on-for-splunk,developer,Claroty Continuous Threat Detection (CTD) Add-On for Splunk,1.0.0
clarotyapp,developer,Claroty Continuous Threat Detection App for Splunk,1.1.0
TA-Clearswift_SEG,not_supported,Clearswift SECURE Email Gateway Add-on for Splunk Enterprise,1
clock_viz,developer,Clock Viz,1.0.3
